"nest_id"	"fate"	"date_on"	"date_off"	"TDR_extended"	"TDR_short"	"TDR_tot"	"NR_extended"	"NR_short"	"nest_age"	"number"
"SAND_2016A_BS02"	"H"	2016-07-13 04:00:00	"2016-07-14 03:59:00"	0	161	161	0	21	19	4
"SAND_2016A_BS02"	"H"	2016-07-14 04:00:00	"2016-07-15 03:59:00"	0	162	162	0	33	20	4
"SAND_2016A_BS02"	"H"	2016-07-15 04:00:00	"2016-07-16 03:59:00"	0	246	246	0	45	21	4
"SAND_2016A_BS04"	"H"	2016-07-08 03:00:00	"2016-07-09 02:59:00"	442	105	547	1	27	8	14
"SAND_2016A_BS04"	"H"	2016-07-09 03:00:00	"2016-07-10 02:59:00"	498	170	668	1	30	9	14
"SAND_2016A_BS04"	"H"	2016-07-10 03:00:00	"2016-07-11 02:59:00"	0	408	408	0	94.1052631578947	10	14
"SAND_2016A_BS04"	"H"	2016-07-11 03:00:00	"2016-07-12 02:59:00"	0	377	377	0	75.8947368421053	11	14
"SAND_2016A_BS04"	"H"	2016-07-12 03:00:00	"2016-07-13 02:59:00"	0	410	410	0	79	12	14
"SAND_2016A_BS04"	"H"	2016-07-13 03:00:00	"2016-07-14 02:59:00"	0	255	255	0	45	13	14
"SAND_2016A_BS04"	"H"	2016-07-14 03:00:00	"2016-07-15 02:59:00"	0	351	351	0	81	14	14
"SAND_2016A_BS04"	"H"	2016-07-15 03:00:00	"2016-07-16 02:59:00"	0	354	354	0	70	15	14
"SAND_2016A_BS04"	"H"	2016-07-16 03:00:00	"2016-07-17 02:59:00"	283	174	457	1	33	16	14
"SAND_2016A_BS04"	"H"	2016-07-17 03:00:00	"2016-07-18 02:59:00"	0	468	468	0	57	17	14
"SAND_2016A_BS04"	"H"	2016-07-18 03:00:00	"2016-07-19 02:59:00"	0	344	344	0	24	18	14
"SAND_2016A_BS04"	"H"	2016-07-19 03:00:00	"2016-07-20 02:59:00"	333	309	642	1	42	19	14
"SAND_2016A_BS04"	"H"	2016-07-20 03:00:00	"2016-07-21 02:59:00"	181	384	565	1	44	20	14
"SAND_2016A_BS04"	"H"	2016-07-21 03:00:00	"2016-07-22 02:59:00"	0	551	551	0	54	21	14
"SAND_2016A_BS11"	"H"	2016-07-09 13:00:00	"2016-07-10 12:59:00"	244	250	494	1	32	14	7
"SAND_2016A_BS11"	"H"	2016-07-10 13:00:00	"2016-07-11 12:59:00"	0	336	336	0	54.5	15	7
"SAND_2016A_BS11"	"H"	2016-07-11 13:00:00	"2016-07-12 12:59:00"	0	384	384	0	56.5	16	7
"SAND_2016A_BS11"	"H"	2016-07-12 13:00:00	"2016-07-13 12:59:00"	0	394	394	0	45.8333333333333	17	7
"SAND_2016A_BS11"	"H"	2016-07-13 13:00:00	"2016-07-14 12:59:00"	0	385	385	0	42.1060606060606	18	7
"SAND_2016A_BS11"	"H"	2016-07-14 13:00:00	"2016-07-15 12:59:00"	0	335	335	0	36.0606060606061	19	7
"SAND_2016A_BS11"	"H"	2016-07-15 13:00:00	"2016-07-16 12:59:00"	0	308	308	0	33	20	7
"SAND_2016A_BS12"	"H"	2016-07-11 04:00:00	"2016-07-12 03:59:00"	0	253	253	0	33.6666666666667	7	15
"SAND_2016A_BS12"	"H"	2016-07-12 04:00:00	"2016-07-13 03:59:00"	0	284	284	0	31.3333333333333	8	15
"SAND_2016A_BS12"	"H"	2016-07-13 04:00:00	"2016-07-14 03:59:00"	0	326	326	0	21	9	15
"SAND_2016A_BS12"	"H"	2016-07-14 04:00:00	"2016-07-15 03:59:00"	0	198	198	0	25	10	15
"SAND_2016A_BS12"	"H"	2016-07-15 04:00:00	"2016-07-16 03:59:00"	0	402	402	0	47	11	15
"SAND_2016A_BS12"	"H"	2016-07-16 04:00:00	"2016-07-17 03:59:00"	0	281	281	0	41	12	15
"SAND_2016A_BS12"	"H"	2016-07-17 04:00:00	"2016-07-18 03:59:00"	0	354	354	0	44	13	15
"SAND_2016A_BS12"	"H"	2016-07-18 04:00:00	"2016-07-19 03:59:00"	174	172	346	1	25	14	15
"SAND_2016A_BS12"	"H"	2016-07-19 04:00:00	"2016-07-20 03:59:00"	0	347	347	0	57	15	15
"SAND_2016A_BS12"	"H"	2016-07-20 04:00:00	"2016-07-21 03:59:00"	0	372	372	0	38.6	16	15
"SAND_2016A_BS12"	"H"	2016-07-21 04:00:00	"2016-07-22 03:59:00"	0	319	319	0	40.4	17	15
"SAND_2016A_BS12"	"H"	2016-07-22 04:00:00	"2016-07-23 03:59:00"	0	253	253	0	45	18	15
"SAND_2016A_BS12"	"H"	2016-07-23 04:00:00	"2016-07-24 03:59:00"	0	317	317	0	48	19	15
"SAND_2016A_BS12"	"H"	2016-07-24 04:00:00	"2016-07-25 03:59:00"	0	319	319	0	47	20	15
"SAND_2016A_BS12"	"H"	2016-07-25 04:00:00	"2016-07-26 03:59:00"	0	300	300	0	29	21	15
"SAND_2016A_BS13"	"H"	2016-07-12 02:00:00	"2016-07-13 01:59:00"	0	270	270	0	40	13	9
"SAND_2016A_BS13"	"H"	2016-07-13 02:00:00	"2016-07-14 01:59:00"	0	205	205	0	33	14	9
"SAND_2016A_BS13"	"H"	2016-07-14 02:00:00	"2016-07-15 01:59:00"	0	231	231	0	40	15	9
"SAND_2016A_BS13"	"H"	2016-07-15 02:00:00	"2016-07-16 01:59:00"	0	270	270	0	44	16	9
"SAND_2016A_BS13"	"H"	2016-07-16 02:00:00	"2016-07-17 01:59:00"	201	84	285	1	18	17	9
"SAND_2016A_BS13"	"H"	2016-07-17 02:00:00	"2016-07-18 01:59:00"	0	223	223	0	28	18	9
"SAND_2016A_BS13"	"H"	2016-07-18 02:00:00	"2016-07-19 01:59:00"	400	35	435	1	4	19	9
